"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
7.5,759.60125,4.17733351398577
7.5,761.0975,4.2170926173317
7.5,762.59375,4.25669076624197
7.5,764.09,4.29610406624634
7.5,765.58625,4.33530804487969
7.5,767.0825,4.37427768914307
7.5,768.57875,4.41298749082907
7.5,770.075,4.45141150058088
7.5,771.57125,4.48952339162432
7.5,773.0675,4.52729653417413
7.5,774.56375,4.56470408158413
7.5,776.06,4.60171906937301
7.5,777.55625,4.63831452831558
7.5,779.0525,4.67446361284695
7.5,780.54875,4.7101397460689
7.5,782.045,4.74531678268642
7.5,783.54125,4.77996919121962
7.5,785.0375,4.81407225684199
7.5,786.53375,4.84760230617481
7.5,788.03,4.88053695531894
7.5,789.52625,4.91285538232823
7.5,791.0225,4.94453862520466
7.5,792.51875,4.97556990633375
7.5,794.015,5.00593498405763
7.5,795.51125,5.03562253180456
7.5,797.0075,5.06462454484457
7.5,798.50375,5.09293677431936
7.5,800,5.12055918768484
10,201.5,13.8453334812932
10,202.99625,13.9310823529357
10,204.4925,14.0104621744678
10,205.98875,14.0834958624713
10,207.485,14.1502196994227
10,208.98125,14.2106827008756
10,210.4775,14.2649459455785
10,211.97375,14.3130818749851
10,213.47,14.3551735685726
10,214.96625,14.391314001261
10,216.4625,14.4216052890316
10,217.95875,14.4461579285835
10,219.455,14.4650900365523
10,220.95125,14.4785265934567
10,222.4475,14.4865986971444
10,223.94375,14.4894428300893
10,225.44,14.4872001444535
10,226.93625,14.4800157683813
10,228.4325,14.4680381365449
10,229.92875,14.4514183475143
10,231.425,14.4303095500953
10,232.92125,14.4048663603568
10,234.4175,14.3752443106756
10,235.91375,14.3415993317463
10,237.41,14.3040872681607
10,238.90625,14.2628634278337
10,240.4025,14.2180821652645
10,241.89875,14.169896498354
10,243.395,14.1184577582685
10,244.89125,14.0639152716316
10,246.3875,14.0064160741519
10,247.88375,13.9461046546416
10,249.38,13.883122728259
10,250.87625,13.8176090377058
10,252.3725,13.7496991810355
10,253.86875,13.6795254646695
10,255.365,13.6072167801814
10,256.86125,13.5328985033887
10,258.3575,13.456692414285
10,259.85375,13.3787166363539
10,261.35,13.2990855938235
10,262.84625,13.2179099854528
10,264.3425,13.135296773474
10,265.83875,13.0513491863647
10,267.335,12.9661667341687
10,268.83125,12.8798452351435
10,270.3275,12.7924768525668
10,271.82375,12.7041501405971
10,273.32,12.6149500981436
