"fat_thickness [mm]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []"
10,605.4875,62.2842356263012,11.0741743885248
10,606.98375,61.8524142068084,11.7586254356109
10,608.48,61.4236017403573,12.4387289055956
10,609.97625,60.9977973882149,13.1145240529196
10,611.4725,60.5749998314344,13.7860500387748
10,612.96875,60.1552072713912,14.4533459095733
10,614.465,59.7384174310931,15.1164505756668
10,615.96125,59.3246275572355,15.7754027903316
10,617.4575,58.9138344229725,16.4302411290486
10,618.95375,58.5060343313798,17.0810039690858
10,620.45,58.1012231195762,17.7277294694057
10,621.94625,57.6993961634776,18.3704555509075
10,623.4425,57.3005483831535,19.0092198770167
10,624.93875,56.9046742487573,19.6440598346315
10,626.435,56.5117677870002,20.2750125154328
10,627.93125,56.1218225881408,20.9021146975639
10,629.4275,55.7348318134622,21.5254028276834
10,630.92375,55.3507882032059,22.144913003393
10,632.42,54.9696840849366,22.7606809560405
10,633.91625,54.5915113823094,23.3727420338942
10,635.4125,54.2162616242116,23.9811311856882
10,636.90875,53.843925954254,24.5858829445292
10,638.405,53.4744951405843,25.1870314121627
10,639.90125,53.1079595859976,25.7846102435837
10,641.3975,52.7443093383204,26.3786526319864
10,642.89375,52.3835341010433,26.9691912940384
10,644.39,52.0256232441791,27.556258455467
10,645.88625,51.6705658153256,28.1398858369394
10,647.3825,51.3183505509108,28.7201046402249
10,648.87875,50.9689658875996,29.2969455346165
10,650.375,50.6223999738443,29.8704386435939
10,651.87125,50.278640681559,30.4406135317071
10,653.3675,49.937675617901,31.007499191656
10,654.86375,49.5994921371426,31.5711240315439
10,656.36,49.2640773526184,32.1315158622781
10,657.85625,48.9314181487325,32.6887018850896
10,659.3525,48.6015011930135,33.2427086791454
10,660.84875,48.2743129482044,33.7935621892213
10,662.345,47.9498396843765,34.3412877134031
10,663.84125,47.6280674910565,34.8859098907853
10,665.3375,47.3089822893582,35.4274526891293
10,666.83375,46.9925698441116,35.9659393924469
10,668.33,46.6788157759804,36.5013925884684
10,669.82625,46.367705573565,37.0338341559574
10,671.3225,46.0592246054833,37.5632852518278
10,672.81875,45.7533581324288,38.0897662980207
10,674.315,45.4500913192014,38.6132969680921
10,675.81125,45.1494092467107,39.1338961734682
10,677.3075,44.8512969239513,39.6515820493102
10,678.80375,44.5557392999525,40.16637193994
10,680.3,44.2627212757025,40.6782823837701
10,681.79625,43.9722277160531,41.1873290976762
10,683.2925,43.6842434616079,41.6935269607517
10,684.78875,43.3987533406022,42.1968899973795
