"fat_thickness [mm]","Freq [MHz]","dB(S(1,1)) []"
7.5,648.87875,-11.6326755060659
7.5,650.375,-11.4406712493522
7.5,651.87125,-11.2525008209428
7.5,653.3675,-11.0681238477903
7.5,654.86375,-10.8874921491252
7.5,656.36,-10.7105513571133
7.5,657.85625,-10.5372422802994
7.5,659.3525,-10.3675020481488
7.5,660.84875,-10.2012650695817
7.5,662.345,-10.038463833665
7.5,663.84125,-9.87902957651504
7.5,665.3375,-9.72289283491549
7.5,666.83375,-9.56998390410821
7.5,668.33,-9.42023321459544
7.5,669.82625,-9.27357164056382
7.5,671.3225,-9.12993075063036
7.5,672.81875,-8.98924300999436
7.5,674.315,-8.85144194169562
7.5,675.81125,-8.71646225350894
7.5,677.3075,-8.584239936011
7.5,678.80375,-8.45471233650821
7.5,680.3,-8.32781821280068
7.5,681.79625,-8.20349777014629
7.5,683.2925,-8.0816926842747
7.5,684.78875,-7.96234611286348
7.5,686.285,-7.84540269751487
7.5,687.78125,-7.73080855796047
7.5,689.2775,-7.61851127994756
7.5,690.77375,-7.50845989804126
7.5,692.27,-7.40060487437584
7.5,693.76625,-7.29489807423117
7.5,695.2625,-7.19129273916715
7.5,696.75875,-7.08974345833254
7.5,698.255,-6.99020613846427
7.5,699.75125,-6.89263797300698
7.5,701.2475,-6.79699741071158
7.5,702.74375,-6.70324412400859
7.5,704.24,-6.61133897740166
7.5,705.73625,-6.52124399608031
7.5,707.2325,-6.43292233491505
7.5,708.72875,-6.34633824796558
7.5,710.225,-6.26145705860449
7.5,711.72125,-6.17824513033866
7.5,713.2175,-6.09666983838771
7.5,714.71375,-6.01669954206603
7.5,716.21,-5.93830355799683
7.5,717.70625,-5.86145213417854
7.5,719.2025,-5.7861164249116
7.5,720.69875,-5.71226846658476
7.5,722.195,-5.63988115431438
7.5,723.69125,-5.56892821942181
7.5,725.1875,-5.49938420772958
7.5,726.68375,-5.43122445865131
7.5,728.18,-5.3644250850466
7.5,729.67625,-5.29896295380706
7.5,731.1725,-5.23481566713656
7.5,732.66875,-5.1719615444843
7.5,734.165,-5.11037960508633
7.5,735.66125,-5.05004955106706
7.5,737.1575,-4.99095175104726
